"","topic","coef","se","pval"
"18",18,-0.0467542784165945,0.000158502715488071,0.0114884684814607
"6",6,-0.0382537883061607,0.000161264043002884,0.0170536804770246
"17",17,-0.0243349550793501,8.86049317174791e-05,0.021040977365816
"8",8,-0.0161183182971565,8.74942060306848e-05,0.119001337799409
"9",9,-0.0154584690118812,0.000125424108183018,0.0847837592283012
"2",2,-0.0138835894007097,0.000160632705706364,0.19984644593186
"19",19,-0.0130729565361868,0.000103687266593268,0.36010858198458
"1",1,-0.0120983711273793,0.000205061571261492,0.933994497985115
"5",5,-0.00956704196283436,0.000178789024856779,0.90517305932959
"28",28,-0.00945300278481128,0.00012968094385127,0.143513387063843
"23",23,-0.00803205393836976,0.000102986836268323,0.536709761518481
"22",22,-0.00397213321508576,0.000169189987558045,0.554360248844363
"10",10,-0.00248802593809835,0.000157128475012453,0.859624025327521
"24",24,-0.002254724921521,9.44568316725394e-05,0.730876164102411
"4",4,-0.00110288428277092,0.000104896157065697,0.847982997854615
"27",27,-0.000817833820772254,0.000184621200943211,0.967572345299331
"7",7,0.000993903131821193,0.000167450314883628,0.623545923222873
"11",11,0.00219826791625999,0.000136766623316323,0.575882812960062
"29",29,0.00482451240324266,9.18431032451622e-05,0.47773458453917
"13",13,0.00569743330890234,4.25051447471055e-05,0.378655168480787
"12",12,0.00872604533238163,8.61770915955265e-05,0.276079862494019
"16",16,0.00990315067312801,0.00017030921948582,0.788459875602789
"15",15,0.0109553745357533,0.000179001677596905,0.952667394948285
"30",30,0.0117032243272586,4.26012866373913e-05,0.186629401473657
"14",14,0.0124765834097961,0.000174051335309413,0.239312441018937
"21",21,0.0148617427856784,0.000184515764205088,0.099789114577793
"3",3,0.0215108103516778,0.000205844384064957,0.168129763010282
"20",20,0.0216900241816846,7.75478493207408e-05,0.0145221934342378
"25",25,0.0243386436748343,0.000131575168487799,0.0604915531108626
"26",26,0.0677827110072636,0.000247992429789833,0.000226116947782693
