documents,docname,rating,date
santa monica daughter yael call tel aviv say fine bite scar watch home afraid brave soul first bomb shelter yesterday famili rocket fire troubl part life person experi last tel aviv fire first gulf war back much chang first take refug bomb shelter mayb way adult explain thing children get first lesson middl east instabl age yael outset war seek refug shelter parent hous jerusalem noth much tell experi siren loud hous minut walk blare tower radio tell lie war progress today broadcast tend accur critic isra govern militari go shelter stay half hour mayb rememb anymor go back home play toy father call reserv duti take uniform go coupl week come back much chang mayb way adult explain thing children recal ever tell day war peac rememb hope fifth grade peac treati egypt earli oslo accord israel palestinian ceremoni celebr rise garden make live understand analyz event current erupt violenc gaza make live explain best hope today end yet anoth cycl violenc yet anoth fragil lie children tell violent skirmish outlier event norm go shelter becom norm sure reach age youngest get solac believ david makovski put situat gaza inher relat global opinion conflict away gaza clash remind second term deal israel palestin children lucki one live tel aviv israel southern town isra children includ children friend experi rocket fire much frequent lucki one live mighti israel gaza palestinian children lion share violenc yet lucki tell rocket threat futur absent father rush nearest shop mall get extra present least youngest one anoth gift make night shelter seem worthwhil,A Call From the Shelter,left,2012
istanbul first start cover turkey earli foreign colleagu sometim mock refer brew resent southeastern turkey kurdish sectarian ethnic discrimin tell problem terror kurdistan worker parti better know pkk resort violenc extort civil societi abid ankara deal kurd border manag relat kurd home major flaw argument turkish state also resort tactic unworthi civil societi year argu kurdish right let alon region autonomi simpli write kurdish mean prison act consid aid abet terror kurdish polit parti shut polit activist tortur becom turkey dirti war thousand peopl assassin disappear kurd suffer fear kurdish secess long canker turkish democraci justif raft law restrict human right freedom express compromis turkey attempt play greater role region particularli syria implod ankara deal kurd border manag relat kurd home long turkey blur line terror legitim protest alien kurdish popul legitim men violenc ari getti imag justic develop parti akp awar challeng come offic earli consolid power initi kurdish start televis station amnesti young pkk milit lure back civilian life open famous shut pkk cast victori return group milit habur border cross iraq akp command strong major parliament simpli prepar brave nationalist sentiment mani turk saw compromis weak northern ireland faction ira shadow peac process faction pkk intent give peac chanc habur turkish govern abandon carrot pick stick determin stop spread campaign civil disobedi citi larg kurdish popul way mass arrest pretrial detent harsh polici bring turkey littl secur bloodi event syria make matter wors bashar syria voluntarili cede control kurdish north countri union parti syrian variant pkk recent upsurg pkk attack turkish soldier polic iranian border well rise act random terror includ bomb explos polic station gaziantep kill civilian mani suspect bloodsh direct result polit game syria well ploy iran use pkk turkish govern punish support syrian opposit ankara respond far get suck conflict enforc buffer zone syrian border alreadi get intern commun establish zone protect grow tide refuge syria desert syrian armi littl doubt turkish govern encourag fight side rebel prompt cemil cicek parliament former hardlin akp minist justic call nation consensu code turkish govern kurdish initi grant kurd power local sort plan work miracl decad ago still succeed today cicek critic parti instead declar kurdish problem decad ago turkish govern appear say kurdish solut count progress,Kurds and (the Turkish) Way,left,2012
nairobi kenya last run quit kenyan get rich illinoi unlik astonishingli swift ascent high tabl american polit merchandis bore candid smile visag sweep shelv moment land campaign materi everywher calendar bumper sticker key ring american flag campaign badg dvd month visitor nairobi forgiv think south side chicago thoma thing littl differ merchandis go express support exuber mute enthusiasm altogeth surpris howev expect imposs high disappoint road suggest kenyan back anymor remain popular ever recent bbc poll find support kenya run franc australia kenya pictur complic last year curiou experi mani kenyan pride accomplish steadi hand leader confus attack local press extol virtu detail apprais first term florid term place parti convent speech kill osama bin lade end war iraq get afford health care act get credit card consum registr pass fight equal work equal pay women ask analyst kenya largest paper nation yet bullish assess accompani puzzlement right wing parti transform kenyan root toxic campaign issu midterm elect common see placard call send back socialist villag kenya parti ralli bemus say least kenya anyth socialist independ kenya america staunchest alli east africa neighbor ethiopia somalia uganda tanzania flirt social align soviet bloc kenya remain resolut implement free market polici day warm relat unit state kenya exist long come scene countri pay heavi price fell victim along tanzania american embassi bomb nairobi dar salaam osama bin lade bloodiest attack bizarr charg air volubl unsuccess candid newt anticoloni attitud statement seem exceedingli curiou consid thing everi high school student learn kenya factor american opposit coloni hasten end british empir independ mani african nation nobodi embodi stanc franklin delano roosevelt differ strongli winston churchil futur empir extract concess british draft atlant charter inde charter includ explicitli anticoloni line power agre respect right peopl choos form govern live wish see sovereign right restor forcibl depriv declar give much encourag earli african indian nationalist legitimaci demand independ even wish america lean harder british factor combin stubbornli high number american persist believ bear kenya muslim mean kenyan learn reconcil fact afford associ close land father birth decad part realli matter unit state polici state depart essenti remain charg last year chang calculu howev good thing africa notabl administr fund improv health care contin africa remain place abroad still warm welcom fallout broader polici global war terror includ rise milit islam horn africa elsewher major impact kenya qaeda presenc region year iraq war provid open radic muslim use money persian gulf aggress penetr east african muslim commun take advantag sens grievanc cultiv local radic group invas somalia ethiopian troop entrench feel embolden somali milit group shabab remain threat today kenya ultim draw mire somalia conflict rise attack territori today secur check ubiquit carefre citi world perfect restor sens america respons power world affair interven situat inact remiss kill bin lade fact kill bin lade cite mani analyst reason support run high support simpli black say media comment osanjo man show quiet compet stark contrast come osama exampl respons death mani kenyan sad see last day elect fever begin catch noth year ago event flavor slapstick comedi weekend western kenya far father grow bullfight stag lighter bull judg beat heavier oppon point result real competit though alreadi profoundli benefici effect way peopl america mani peopl mind unit state land michael jordan chicago bull sylvest stallon role land sweet soda chang rosi pictur america resurrect murithi mutiga report sunday nation nairobi,The View From Nairobi,left,2012
caricatur flourish peopl agre anyth polit find common grind point undecid voter vapid disengag littl bite frighten yet still part elector past week use data cooper campaign analysi project explor thought feel voter undecid last takeaway typic less interest polit pay less attent news gener like moder idea contemporari polit question percent report polit idea far caricatur pretti much hold also like women percent like less high school educ less like hold graduat degre like famili incom less year data howev also reveal almost half undecid consid even cue strong percent eventu choos parti candid oppos percent partisan possibl polit signal parti mean less polit foreign countri anoth possibl idea conflict posit put parti take exampl question rais tax famili earn year say ye roughli percent undecid voter favor polici percent earli decid oppos polici quarter undecid voter oppos even highest level incom year differ earli late decid issu point similar differ find undocu immigr live unit state legal path citizenship compar undecid point less like favor pathway undecid point less like oppos compar alway abandon parti ballot conflict undecid like percent break oppos rais tax rich like break oppos pathway citizenship revers true conflict undecid like choos disagre immigr like choos disagre tax rich look light undecid actual exemplifi type polit flexibl often claim admir often denigr practic healthi portion undecid voter seem understand step parti sometim drive oppos candid interest news polit consid prefer rel parti posit make mind adjust caricatur let briefli move away parti anoth canon driver voter choic american elect attitud race subject preval econom collaps portend strong victori discuss race conspicu absent least much less focu problem elect go much closer attitud race pivot way almost sure stop talk model vote separ earli decid initi undecid voter use parti identif ideolog retrospect evalu nation economi measur call racial resent racial resent set regularli use polit scienc measur attitud race bear concept symbol racism share critic essenti scale survey question ask peopl agre disagre question gener slaveri make hard black work way econom ladder black well white racial resent relat voter choic everi presidenti elect modern histori interestingli even primari attitud robustli predict voter choic evid also suggest racial resent play larger role run rel other run relationship look plot decil resent overal sampl control parti ideolog econom judgment increas level racial resent move leav right horizont axi decreas likelihood vote shock get interest voter abl make mind earli move lowest level resent highest drop chanc vote point compar drop initi undecid voter slightli point saw parti attitud race undecid relat choic relationship weaker decid earli word racial attitud undecid voter affect vote dramat attitud affect earli decid hand interpret good news anoth blow caricatur perhap undecid voter truli race matter much earli decid alreadi make mind partisan mayb voter one move race least term candid hand alreadi catch sight seth meyer saturday night live work next skit undecid voter punch line wait mean black lynn vavreck associ professor polit scienc commun studi side gambl choic chanc presidenti elect author messag matter economi presidenti campaign investig cooper campaign analysi project,In Defense of the Undecided,left,2012
elect night becom photo histori social media pictur hug wife dissemin icon imag tip far larger iceberg sink ye demograph help beat chang landscap media consumpt group young women hispan african american make differ fastest adopt social mobil media scott imag campaign understand ride converg demograph media even karl rove spend televis help garner nearli white male find everlast surpris lose side nation elect lament father countri point father market either irrevers chang countri demographi collid irresist chang consumpt media older white male get inform televis peopl make differ twitter tumblr smart phone gener even make decis polit differ predecessor enter market elector much analysi social media varieti outperform medium yet precis effect exactli clear help win younger voter reli larg extent sheer volum team simpli swamp effort dozen mani twitter follow percent follow facebook effort build buzz creat convers accord academ research perform jennif aaker busi professor stanford research victoria chang campaign build support social network follow facebook viewer watch hour video youtub pretti translat huge offlin result event rais donor elect day everi support mobil phone number campaign databas get text messag remind vote vote cours exhaust studi social media yet conduct matter initi report indic similar perform team huge databas support campaign facebook like half much accord meaghan ouimet twice mani youtub like comment easili mani nomine interestingli campaign yet eager share social media victori strategi pro publica busi crack differ content effort creat result women run team facebook creat line mix text graphic right women desir control health care vote power narr engag user campaign make ask get donat call vote vote decid post right elect like hand mom run campaign less themat construct featur photo volunt imag run mate post urg mom vote make call net like gener speak social media prove abl chang someon mind much capabl put togeth commun peopl know correl like say facebook vote behavior put peopl togeth allow take action reach friend onlin join telephon drive event also take commit action rais money rais small donor chip less nearli much barrag constant campaign also like chang mind kind consist howev irrit remind peopl donat vote media campaign correctli understand reach certain cohort effect move tradit media media reson hispan young women even consid latino hispan countri higher usag rat mobil social media anglo african american hispan adopt twitter faster rat white anglo consid women variou ethnic background embrac smart phone faster white counterpart women african american hispan smartphon compar white women accord nielsen women believ smartphon improv live inclin say thing trust medium american polit televis campaign spend fortun tradit also target women latino though leaven commun spend media smart market today bring relianc televis think demograph coalit turn fluke preach televis set choir less adult watch cabl televis news accord pew research center half peopl mani insight draw world market research polit campaign fast becom fairli common knowledg market research activ help compani embrac say hispan market oppos threaten get peopl busi addit subtract california alan zorfa market research firm motista find way explain wrong side mani tradit poll measur track economi abl defi graviti differ cohort simpli like think cooler believ truli empath regardless track record appl zorfa tell suggest key shift long get underway demograph media also younger voter make decis differ constantli inform messag reinforc delug text twitter messag come friend famili hundr thousand day lose point overal white vote still swamp peopl first fastest adopt social media vote even fewer younger voter turn underscor edg even poll close virginia campaign still text volunt make sure everyon line stay vote right parti talk lot immigr copi effort suggest profound misunderstand realli happen set stage repeat parker parker research austin tex syndic,Social and Anti-Social Media,left,2012
elect night becom photo histori social media pictur hug wife dissemin icon imag tip far larger iceberg sink ye demograph help beat chang landscap media consumpt group young women hispan african american make differ fastest adopt social mobil media scott imag campaign understand ride converg demograph media even karl rove spend televis help garner nearli white male find everlast surpris lose side nation elect lament father countri point father market either irrevers chang countri demographi collid irresist chang consumpt media older white male get inform televis peopl make differ twitter tumblr smart phone gener even make decis polit differ predecessor enter market elector much analysi social media varieti outperform medium yet precis effect exactli clear help win younger voter reli larg extent sheer volum team simpli swamp effort dozen mani twitter follow percent follow facebook effort build buzz creat convers accord academ research perform jennif aaker busi professor stanford research victoria chang campaign build support social network follow facebook viewer watch hour video youtub pretti translat huge offlin result event rais donor elect day everi support mobil phone number campaign databas get text messag remind vote vote cours exhaust studi social media yet conduct matter initi report indic similar perform team huge databas support campaign facebook like half much accord meaghan ouimet twice mani youtub like comment easili mani nomine interestingli campaign yet eager share social media victori strategi pro publica busi crack differ content effort creat result women run team facebook creat line mix text graphic right women desir control health care vote power narr engag user campaign make ask get donat call vote vote decid post right elect like hand mom run campaign less themat construct featur photo volunt imag run mate post urg mom vote make call net like gener speak social media prove abl chang someon mind much capabl put togeth commun peopl know correl like say facebook vote behavior put peopl togeth allow take action reach friend onlin join telephon drive event also take commit action rais money rais small donor chip less nearli much barrag constant campaign also like chang mind kind consist howev irrit remind peopl donat vote media campaign correctli understand reach certain cohort effect move tradit media media reson hispan young women even consid latino hispan countri higher usag rat mobil social media anglo african american hispan adopt twitter faster rat white anglo consid women variou ethnic background embrac smart phone faster white counterpart women african american hispan smartphon compar white women accord nielsen women believ smartphon improv live inclin say thing trust medium american polit televis campaign spend fortun tradit also target women latino though leaven commun spend media smart market today bring relianc televis think demograph coalit turn fluke preach televis set choir less adult watch cabl televis news accord pew research center half peopl mani insight draw world market research polit campaign fast becom fairli common knowledg market research activ help compani embrac say hispan market oppos threaten get peopl busi addit subtract california alan zorfa market research firm motista find way explain wrong side mani tradit poll measur track economi abl defi graviti differ cohort simpli like think cooler believ truli empath regardless track record appl zorfa tell suggest key shift long get underway demograph media also younger voter make decis differ constantli inform messag reinforc delug text twitter messag come friend famili hundr thousand day lose point overal white vote still swamp peopl first fastest adopt social media vote even fewer younger voter turn underscor edg even poll close virginia campaign still text volunt make sure everyon line stay vote right parti talk lot immigr copi effort suggest profound misunderstand realli happen set stage repeat parker parker research austin tex syndic,Social and Anti-Social Media,left,2012
rous start convent charlott make last week convoc tampa look well parti viewer think tuck tail run away record mistak give defens rattl hour accomplish use record draw stark distinct plan attack unfett feroc come parti readi fight sum word probabl defianc defi poll defi pundit defi harsh polit realiti energet consist speech variat theme alreadi present america will possibl even congenit blind run counter tight poll hawk cabl news economi deval patrick massachusett tell crowd tuesday messag grow backbon stand believ quit wait quit wait quit wait pundit poll super pac tell next congressman american shape futur soften first night take first ladi dulcet tone devast effect deliv exquisit craft speech link person love husband devout endless love affair speech someth fail give listen insid look husband approach problem work critic even mani support sometim seem detach first ladi paint portrait man empathet engag crowd swoon wednesday littl uneven littl less master bill wrap even deliv wonki speech passion southern preacher keep crowd rapt whole way want nomin man cool outsid burn america insid say begin speech end argu starkli vote elect decid kind countri want live want societi support ticket want countri share opportun share respons societi vote joe whatev fault orat gift nation convent even come close clear perform win convert tuesday gallup report bounc poll convent speech well stiffen loyalist spin evenli divid elect win loss come mobil turnout noth,The Defiant Ones,left,2012
tell guest florida america divid peopl pay incom tax depend govern pretti much everyon els miss deeper truth percent talk pay payrol tax mani pay incom tax past realiti gloss nearli american use govern social polici point live beneficiari includ rich poor almost everyon maker taker uniqu data nation survey cornel survey research institut ask american ever take advantag social polici provid feder govern student loan medicar polici includ govern activ benefit everyon nation defens interst highway system food safeti regul tangibl benefit accru specif household oliv munday survey ask peopl polici usag live moment includ question social polici emb tax code usual overlook data reveal strike nearli american percent reli feder govern assist young adult yet elig mani polici account remain percent averag peopl report use social polici point live individu typic direct social benefit form check good pay govern social secur unemploy insur also benefit polici govern role submerg mean channel tax code privat organ home mortgag deduct statu employ employe health insur design polici camouflag fact social benefit direct benefit help american pay hous health care retir colleg use govern social polici cut partisan divid polici use often member parti like use bill social secur retir survivor benefit take advantag medicaid unemploy insur overal percent percent acknowledg receipt least direct social benefit percent percent take advantag submerg polici take type polici account seem distinct maker taker vanish percent percent report use least govern social polici major individu household everi incom level use least direct social polici peopl use direct polici affluent averag household incom year use compar household proport revers case submerg polici wealthi famili typic use poor also partisan differ long individu benefit polici use similar percentag child depend care tax credit tax credit colleg tuition member parti benefit averag amount true polici benefit group partisan exampl deduct claim tax credit claim benefit year averag similarli reli bill long claim unemploy insur benefit american actual differ think govern role live major drive factor ideolog less like respond affirm ask ever use govern social program even subsequ acknowledg use number specif polici ideolog differ display parti convent jersey note father grow poverti use bill becom first famili graduat colleg context speech critic need coddl big contrast credit student loan make husband colleg educ possibl argu work hard do well walk doorway opportun slam shut live almost help sustain govern social polici tax dollar point almost directli benefit polici ideolog influenc other use govern remark reson think produc rather moocher use ayn distinct distinct fail captur way american realli experi govern instead divid experi maker taker bind commun share sacrific mutual support suzann mettler professor govern cornel side associ professor polit scienc washington univers,We Are the 96 Percent,left,2012
friday hear complaint coverag horrifi philadelphia murder trial kermit gosnel review write far amount piec number shorter one recent thorough setup piec trial begin includ coverag open statement longer piec write journalist shorter piec associ press gosnel abort doctor charg count murder prosecutor charg plung scissor neck viabl fetus cut spinal cord also charg murder death pregnant woman get death penalti find guilti nation editor sam sifton tell friday coverag like write coupl messag twitter write coverag insubstanti certainli add probabl come caus littl storm reaction believ part vast media conspiraci ignor trial threaten abort right public usa today atlant getreligion opin polit coverag ross douthat sunday column critic press corp sham harass pay attent monday sifton tell report trip gabriel trial monitor expect someth sifton say also marti baron editor washington post tell media erik wempl friday post send staff report trial go far say happen earlier sifton say see trial murder abort everi cover warrant say peopl question motiv say trial offend pieti back greg mitchel nation note blog press also larg miss rare except media also ignor case recent write farhi washington post point weekli standard publish anyth trial accord search nexi neither ross douthat wall street journal conor friedersdorf atlant make point mani terribl crime get much coverag includ death children drone strike yemen pakistan lay number theori rel lack gosnel trial coverag add behavior news organ often owe chao theori conspiraci theori think editor report get togeth decid give gosnel trial lot attent highlight evil abort think radar screen murder newborn babi do horrif ordinari crime suggest includ mine friday anoth murder trial miscalcul certainli possibl journalist touch voic caus pick import trial sooner judg news valu alon gosnel trial deserv coverag elsewher call attent grisli disturb trial right accus polit overcom news judgment right wrong reason gabriel report media attent trial tuesday paper,"Politics Aside, the Gosnell Trial Deserves — and Is Getting — More Coverage",left,2013
morri davi former chief prosecutor guantánamo bay cuba resign post protest tortur prison polit interfer deter work say subject gag order administr gregori hick veteran diplomat ask mani question happen scene benghazi libya last fall say demot administr come shape polit affili share often integr strong conscienc unrel act best interest rare thing turn particularli well recent film robert greenwald make clear failur govern transpar cross parti line root polit expedi failur transpar know color neither red blue need point resist author robert heinlein write secreci begin issu fascin back coverag terrorist attack benghazi last fall aftermath govern obfusc form drive honesti open captiv subject also coverag america grow drone program highli secret militari activ last decad mark mazzetti recent book way knife import subject write benghazi coverag tuesday reject idea ignor subject claim also call coverag less orient polit polar dig realli happen last well articl thursday call hick testimoni rivet articl detail way demot desk job ask mani question appar state depart like state depart deni happen joe scarborough former congressman host morn joe msnbc write twitter nytim account today benghazi hear caus great concern white hous tonight http joe scarborough joenbc part colonel davi perspect quit chief pro gitmo interfer pentagon give gag order irat similar benghazi morri davi colmorrisdavi news organ earlier parti other washington post lead paper tuesday articl preview hick say meanwhil news organ still seem yawn late wednesday morn say noth politico dylan byer sardon comment suggest much sound furi washington littl get excit rememb slower news day dylan byer dylanby turn news reader avidli follow newspap level interest report write thursday morn complain go nearli far enough rigor manhattan reader gordon kay write say encourag way coverag move substanc away pure polit earli week jump skin wonder total silenc benghazi hear initi morn articl wednesday bite top explicitli link hear vast right wing conspiraci cross bear inde jay carney cite articl proof hear irrelev sens wit reveal credibl human engag care respons report seem react posit honest discuss issu transpar principl proudli stand relationship secur take root kay frame subject extrem well whatev polit undeni plenti also deeper issu govern secreci cultur retali tension nation secur transpar deserv full air energet scrutini hearten see crucial import issu get major attent thursday,"Transparency, Secrecy and Retaliation Emerge as Major Issues in Benghazi Coverage",left,2013
