documents,docname,rating,date,outlet
mitt tell guest florida america divid peopl pay incom tax depend govern pretti much everyon els miss deeper truth percent talk pay payrol tax mani pay incom tax past realiti gloss nearli american use govern social polici point live beneficiari includ rich poor democrats republicans almost everyon maker taker uniqu data nation survey cornel survey research institut ask american ever take advantag social polici provid feder govern student loan medicar polici includ govern activ benefit everyon nation defens interst highway system food safeti regul tangibl benefit accru specif household oliv munday survey ask peopl polici usag live moment includ question social polici emb tax code usual overlook data reveal strike nearli american percent reli feder govern assist young adult yet elig mani polici account remain percent averag peopl report use social polici point live individu typic direct social benefit form check good pay govern social secur unemploy insur also benefit polici govern role submerg mean channel tax code privat organ home mortgag deduct statu employ employe health insur design polici camouflag fact social benefit direct benefit help american pay hous health care retir colleg use govern social polici cut partisan divid polici use often member parti republicans like use bill social secur retir survivor benefit democrats take advantag medicaid unemploy insur overal percent democrats percent republicans acknowledg receipt least direct social benefit republicans percent democrats percent take advantag submerg polici take type polici account seem distinct maker taker vanish percent republicans percent democrats report use least govern social polici major individu household everi incom level use least direct social polici peopl use direct polici affluent averag household incom year use compar household proport revers case submerg polici wealthi famili typic use poor also partisan differ long individu benefit polici use similar percentag democrats republicans child depend care tax credit tax credit colleg tuition member parti benefit averag amount true polici benefit group partisan exampl deduct claim republicans tax credit democrats claim benefit year averag similarli republicans reli bill long democrats claim unemploy insur benefit american actual differ think govern role live major drive factor ideolog less like respond affirm ask ever use govern social program even subsequ acknowledg use number specif polici ideolog differ display parti convent jersey note father grow poverti use bill becom first famili graduat colleg context speech critic need coddl big contrast credit student loan make husband colleg educ possibl argu work hard do well walk doorway opportun slam shut live almost help sustain govern social polici tax dollar point almost directli benefit polici ideolog influenc other use govern remark reson think produc rather moocher use ayn distinct distinct fail captur way american realli experi govern instead divid experi maker taker bind commun share sacrific mutual support suzann mettler professor govern cornel side associ professor polit scienc washington univers,We Are the 96 Percent,left,2012-09-24 20:51:00,NYT-OPINION2012-2013-processed
friday hear complaint coverag horrifi philadelphia murder trial kermit gosnel review write far amount piec number shorter one recent thorough setup piec trial begin includ coverag open statement longer piec write journalist shorter piec associ press gosnel abort doctor charg count murder prosecutor charg plung scissor neck viabl fetus cut spinal cord also charg murder death pregnant woman get death penalti find guilti nation sam sifton tell friday coverag like write coupl messag twitter write coverag insubstanti certainli add probabl come caus littl storm reaction believ part vast media conspiraci ignor trial threaten abort right public usa atlant getreligion opin polit coverag ross douthat sunday column critic press corp sham harass pay attent monday sifton tell report trip gabriel trial monitor expect someth sifton also marti baron washington post tell media erik wempl friday post send staff report trial go far happen earlier sifton see trial murder abort everi cover warrant peopl question motiv trial offend pieti back greg mitchel nation note blog press also larg miss rare except media also ignor case recent write farhi washington post point weekli standard publish anyth trial accord search nexi neither ross douthat wall street journal conor friedersdorf atlant make point mani terribl crime get much coverag includ death children drone strike yemen pakistan lay number theori rel lack gosnel trial coverag add behavior news organ often owe chao theori conspiraci theori think report get togeth decid give gosnel trial lot attent highlight evil abort think radar screen murder newborn babi do horrif ordinari crime suggest includ mine friday anoth murder trial miscalcul certainli possibl journalist touch voic caus pick import trial sooner judg news valu alon gosnel trial deserv coverag elsewher call attent grisli disturb trial right accus polit overcom news judgment right wrong reason gabriel report media attent trial tuesday paper,"Politics Aside, the Gosnell Trial Deserves — and Is Getting — More Coverage",left,2013-04-15 16:43:27,NYT-OPINION2012-2013-processed
nate silver author fivethirtyeight blog attack peopl note post thursday also mani defend hundr write twitter messag comment blog vehement disagre critic silver wager talk show host outcom presidenti elect question intellig saniti sens fun critic wager encourag unfair critic overal method other question logic specif complaint latter turn floor leonhardt washington bureau chief first want state clearli see noth silver write suggest work partisan motiv also repeat choos equat probabl close polit race wildli miss point use everyon favorit word innumer problem silver wager interpret critic alreadi paint partisan evid root interest particular outcom ye even win chariti even bet make point model true conflict interest appear appear matter affect credibl heart good journal school think reject idea mani peopl articul well friday put broadli journalist bet outcom news event cover bet rais reason idea stake news event turn even make event take particular cours busi report allow trade stock compani cover wall street journal exampl strict polici thought respond post leonhardt defend wager point silver public record take nonpartisan approach poll analysi write claim momentum final day recal campaign scott walker wisconsin nate throw cold water argument walker remain heavi favorit walker cours nate model also suggest hous takeov scott brown win like happen none mean win percent chanc seriou chanc system flaw percent favorit percent put anoth way pair dice break roll larger point nate work long earn benefit doubt goal produc best poll analysi possibl give inher nois poll inher uncertainti life confer silver also exampl case underdog model go win note also reflect partisan pattern leonhardt note underdog win sometim basebal batter sometim get exampl follow silver mccain republican favor indiana barack gay marriag favor pass sharron angl republican favor nevada reid ken buck republican favor colorado michael bennet parti republican joe miller favor alaska race moder republican lisa murkowski bill bradi republican favor illinoi race pat quinn republicans project win hous seat case silver mitt favor primari rick santorum leonhardt add prais silver nate do public work caus peopl start pay attent poll instead help peopl alreadi pay attent poll understand individu poll noisi direct mislead yet even flaw individu poll often nois inform pollster polit scientist better recent public record analyz elect data nate perfect convey emphasi uncertainti humil seriou impress nonpartisan true mani critic claim well find much agre chang mind wisdom publicli wager televis talk show host admit quibbl overal pictur person note want acknowledg silver gener respons twitter friday morn clearli someon understand feel sieg,"The Times’s Washington Bureau Chief, and Legions of Others, in Defense of Nate Silver",left,2012-11-02 15:22:00,NYT-OPINION2012-2013-processed
anybodi think race anyth tossup right ideologu keep away typewrit comput laptop microphon next day word joe scarborough host msnbc morn joe program talk nate silver statist wizard whose fivethirtyeight blog licens write frequent onlin well print silver also desk newsroom presidenti campaign veer clubhous turn zoom homestretch silver much public eye month predict percent probabl give take point win tuesday use algorithm call secret sauc combin number public opinion poll produc result turn predict endear democrats infuri republicans silver support work tend focu number polici polit promot book signal nois increas visibl short everywher name everyon lip brendan nyhan note columbia journal review pundit resent method repres mortal threat tradit hors race polit skirmish scarborough especi high profil scarborough note disagre silver predict call race dead heat silver fool otherwis silver quit accur argument scarborough clearli close popular vote affect probabl win simpli differ thing thursday frustrat irrit silver challeng scarborough wager twitter messag red cross climb win scarborough pay mitt win silver far scarborough bite reach comment thursday phone convers silver describ wager half play half rant call idiot partisan ask put integr stand gain anyth add feel strain attack vulner critic elect day approach understand sympath whatev motiv wager bad idea give ammunit critic want paint silver partisan sway outcom also inappropri journalist silver see public even regular staff member want see becom newsroom practic associ manag standard philip corbett describ silver statu blogger someth mitig factor grant silver cover presidenti race polit report close associ journal fact probabl know use loos particular moment come work silver gain lot visibl credibl associ promin institut lose someth right act free agent respons nobodi standard,"Under Attack, Nate Silver Picks the Wrong Defense",left,2012-11-01 16:48:00,NYT-OPINION2012-2013-processed
next monday schedul panel south southwest mediafest austin discuss way digit cultur chang children grow role appar make expert member panel emili bazelon slate danah boyd microsoft research jason rzepka mtv look brilliant comparison give bazelon book bulli expect much convers explor internet rise tide mean subject mind absorb reader respons column monday role great american budget impass autom auster call column argu preponder blame lie intransig claqu congression republicans play hand fail use leverag avail reader reaction critic unfair give short shrift pigheaded republicans enamor grand fiscal compromis wrong suggest tamper medicar social secur etc reader come defens toss respons exchang moment live debat surround lot vitriol slogan discuss take place mani venu follow comment stream post articl twitter teacher compar contrast comment mostli lean leav opinion section tend draw reader twitter accord pew research report percent public think first debat mitt percent tweeter think venu comment rough quick categor dismiss partisan term shill right wing footsoldi moral bankrupt center twitter exchang markedli meaner shallow comment fee websit differ rel civil town meet open night realli bad comedi club moment someon doubtless tweet duh twitter term paper arrog ye get twitter snappi reparte seriou argument reflect nuanc comment give reader room marshal fact articul point mani ring real author also comment moder filter profan person insult intemper outburst twitter relish spirit twitter let toss thought see crowd react factor make internet hospit place malic social media reward partisanship natur medium peopl talk anoth reinforc anoth easi dismiss alien challeng prejudic unquest prejudic shrivel slogan label immediaci encourag snap judgment voic judgment wide world difficult retreat sree sreenivasan chief digit offic columbia univers spend averag minut compos everi tweet send go twitter grain suspect tweet take second crowd internet ultim crowd temptat shout hear especi true comment unfilt crowd nois consist larg part nip jib sneer anonym much social media still permit anonym licens viciou web cultur simultan elitist expect univers skew young educ attent fashion technolog open ambienc clubbi alway get insid head kid hound class nasti adult punish unpopular escap record spend year work life help reinvent paper newsroom digit world thing nurtur cultur invent experiment conven interact audienc believ bless internet outnumb danger stop wonder qualiti internet amplifi bulli also polar partisan gridlock nation govern twitter make mean social media bring bulli,The Bullying Pulpit,left,2013-03-05 18:44:28,NYT-OPINION2012-2013-processed
kevin imag day jason make histori becom first activ athlet america major sport leagu acknowledg gay see column hop phone lo angel talk briefli reaction announc road travel junctur right drive hous way work peopl like routin routin summertim work yesterday obvious day miss workout reaction surpris impress expect support teammat coach get support everi singl person talk nba famili stanford famili overwhelm get bigger leader free world give call good thing someth help empow other help other remark overwhelm much expect call call come blue speak yesterday relationship famili chelsea brother wife bridesmaid wed come graduat parti stanford know famili reach administr speak valeri jarrett yesterday assum agent hous get call woman identifi hold sure part back mind think go biggest practic joke ever get line voic distinct way talk amaz reaction seemingli posit awar broussard espn christian openli activ gay respons respons first christian know gay lesbian member commun lgbt commun practic christian toler accept america best countri world entitl opinion belief agre obvious agre statement discuss begin peopl advoc know great teammat matter matter matter sexual orient person teammat guy team make team better help win basketbal game convers good morn america know gay pro basketbal player realli other illustr tightli shut closet door sport statist speak probabl one statist speak one els rais hand know sure statist speak percent sure other none sport seem lag mani arena societi term openli gay peopl know go put come difficult decis period regardless profess describ bake oven need develop comfort skin comfort privat life anytim profession athlet alreadi spotlight guy felt want distract end day win basketbal game profession conduct work ethic make privat life funni play game ipad call domino teammat send back forth sometim take week finish game yesterday make big statement back domino ipad turn game play send turn make big declar relationship noth chang hope someday turn gay sport illustr articl year tell anyon basketbal gay abl gay romant life basketbal circl friend includ gay men question speak privat life go answer know question ask want talk specif privat life friendship definit friend gay readi scrutini come preced set role take hope laugh kind hard revers cours right go think import live honest genuin life make decis make happi life go abl everyon articl endur year mean tough live lie realli tough describ know sky blue tell red insan logic tough live lie weigh put mask end day happi tell lie point honest truth censor button smart announc note help first openli gay athlet also black young gay black men look see mani promin openli gay black men openli gay white men notic strike year lack exampl fortun peopl look famili first uncl gay uncl mark live great role model know eventu abl talk relationship partner recent get engag high school togeth role model uncl alreadi bless look far free agent let get pick next season ever know sure come factor sure team look basketbal look role nba backup center know readi moment see tweet yesterday teammat wizard go way back teammat net jason kidd talk great teammat possibl honesti freedom make better player think look think guy speak honestli teammat look sort yoda littl bite old veteran old guy still get do impart knowledg earn right nba veteran sever reader write morn express admir point abl mani men women come much riskier carri potenti bigger price feel indebt anyon particular black gay male mani peopl civil right movement also gay right movement sport figur list go mani name mention martina navratilova huge fan even brittney griner esera tuaolo robbi roger dave kopay mani peopl come black male gay male sort pave road pave road somebodi els great teammat societi team respons acknowledg come give credit go come respons lift,Q. and A. With Jason Collins,left,2013-04-30 17:10:13,NYT-OPINION2012-2013-processed
michael appreci much traction legal marriag gain look inaugur deliv use preciou minut throw spotlight issu make support clearer ever look much differ direct world profession footbal succinct extraordinari email brendon ayanbadejo lineback baltimor raven send hour team defeat england patriot sunday night gain passag game game super bowl play year orlean almost monday morn eastern write email arriv back home baltimor area boston area contest take place pump heart burst excit raven good fortun thought race week lead bowl thought turn possibl victori also marriag effort promot team head orlean sport report eager lap player everi word hand louder megaphon ever possess tap email brian ellner lead advoc work michael skolnik polit director russel simmon mogul becom involv mani issu includ marriag ayanbadejo write anyth marriag equal bulli next coupl week har super bowl media stamp email phone tuesday afternoon ayanbadejo call missiv jerri maguir email refer cruis movi plot set motion maguir play cruis seiz occas sleepless night pour heart soul mission statement realli passion zone ayanbadejo tell refer maguir movi moment wee hour monday morn get think kind thing think get messag mean rapidli grow number american feel passion justic marriag care right gener messag mean equal right american mean men women legal abl ayanbadejo nation footbal leagu player whose frequent public statement gestur support marriag draw widespread attent latest footbal season minnesota vike punter kluw write profil one ayanbadejo one kluw also interview player quot blog post accompani column last year former major leagu basebal team owner come closet ayanbadejo support gay right reflect childhood youth mingl divers group peopl includ mani openli gay lesbian point tell stepfath resid director dorm univers california santa cruz famili includ ayanbadejo live rais gay peopl societi tell interview first speak discrimin never ayanbadejo play profession footbal decad first publicli voic support marriag equal sever year ago much loneli stand draw insult deris case last year land news legal marriag debat maryland ayanbadejo make endors clear prompt state lawmak opposit camp ask owner raven shut ayanbadejo kluw ralli ayanbadejo defens also take caus marriag equal becom center widespread media coverag around lineback hear back public teammat mostli laudatori least respect phone tuesday make clear teammat support marriag religi object discuss differ opinion unlik trigger chicken sandwich occas turn food chain whose owner social gay marriag protest ayanbadejo recal teammat respond actual agre chicken chain owner week ayanbadejo advoc seiz moment exampl swap email hudson taylor founder execut director athlet alli group dedic rid sport school colleg homophobia excit readi take stand whatev way taylor leverag biggest sport stage also convers ellner skolnik specif marriag equal ellner understand straight biraci player super bowl huge impact futur dream particular dream super bowl victori super bowl ring land guest spot ellen degener talk show discuss import treat gay lesbian mayb kid alreadi exchang mutual admir messag twitter ultim goal super bowl ayanbadejo tell ellen show danc bust move precis expect lineback fearsom defens squad profession footbal world grow way miracul wonder thing,Carrying a Cause to the Super Bowl,left,2013-01-23 02:57:47,NYT-OPINION2012-2013-processed
charlott light sunday column thoroughli republican nation convent ignor issu marriag think note repeat mention first night democratic nation convent charlott think also note someth els morn revisit comment matter democratic parti platform first year plank advoc marriag equal promin nod julian castro mayor san antonio deval patrick massachusett glanc fashion case first ladi mayor castro endors implicit explicit consist accident sidestep word gay lesbian initi lgbt electron search transcript remark intrigu suggest democrats increasingli line support marriag equal champion last year democratic state washington maryland still believ frame care way care languag perhap still concern come fixat issu behold ident polit well case gather place previous mention last night first ladi farmer blacksmith win independ empir immigr leav everyth know better life shore women drag jail seek vote gener defeat depress defin great young preacher lift mountaintop righteou dream proud american boldli stand altar love sure sure give everyon countri fair chanc great american mayor castro come let peopl love love marri want marri mitt patrick massachusett marri believ freedom mean keep govern privat affair includ woman decis keep unwant pregnanc everybodi decis marri,Marriage Equality Goes Prime Time,left,2012-09-05 15:24:55,NYT-OPINION2012-2013-processed
sever year ago jennif senior write fascin agon essay magazin abort challeng face caus piec mani memor passag stretch particular stand want hear honest talk realiti abort speak abort counselor provid even radic tell polit discours hear subject easi dichotomi boilerpl littl correspond messi intric patient hear peac guilt relief sin acknowledg like rhetor imageri movement touch basic emot truth peg johnston manag access women upstat rememb first patient unconsci begin languag protest protest brainwash tap thing discomfort quit brave confess make mean make oneself vulner opportunist activist happili take word uncertainti moral qualm repurpos end back late eighti charlott taft first pioneer practic write note heart dalla clinic mention journalist women know abort kind kill poor kate michelman naral forc defens day last year lisa michigan doctor write incred power essay reproduct health matter come term gori abort simultan recogn valid catch discours reflect valu accur reflect full extent experi abort fact contradict enorm part discours imageri actual close align experi base valu share essay describ perform abort woman week along immedi run deliv prematur babi week think bizarr legal dismemb insid mother uteru write kind violenc illeg note current violenc frankli gruesom abort own like see abort pregnanc think lot passag tension illumin follow debat nation media adequ cover case kermit gosnel philadelphia charg murder women go abort infant whose spin allegedli sever scissor deliv final forc promin late last week inspir number eloqu critiqu press cover abort recommend carl cannon melinda henneberg particular well variou piec defend media charg bia pin lack coverag factor interest respons far come voic uncompromisingli leav basic make interlock argument first media blackout feminist blogger write begin second breakdown mainstream coverag failur recogn way gosnel actual inequ access medic care pervers consequ abort restrict rather side inher horror procedur argument show lot place develop extens irin carmon salon initi piec case never hear gosnel probabl fail pay attent copiou coverag feminist journalist well big news organ news first break someth rich infuri almost uniformli male happen report comment scrambl break open shock untold know one write name dispar sourc speak big news organ network let think question anoth way often place devot energi cover massiv health dispar poor outcom work current system often travail women whose vulner gosnel exploit poor immigr otherwis margin peopl give coverag surpris face politic stigma lack public fund good inform morass restrict law allegedli mean protect women vacuum fill monster well gener thing pay attent piec mean let talk kermit gosnel accus act alreadi illeg fashion philadelphia weekli report tara murtha put panoram institut neglig cultur pass buck flagrant disregard patient welfar prevent meaning gosnel perform late term abort highli imprecis term much fact women go felt nowher els issu yet see grandstand fulli erin grant philadelphia women center write instead peopl moral oppos outsid door thursday friday saturday embolden state floor save women yet noth do provid women dignifi health care includ safe abort carmon press coverag feel obfusc voic complain media blackout obvious talk lack coverag nation claim peopl take interest uniformli male nonsens note sunday column put energi push mainstream kirsten power molli ziegler hemingway getreligion recent appear sunday roundtabl courtesi peggi noonan best piec lack media coverag melinda henneberg column note get idea obfusc weav togeth legitim point rigor realli cover gosnel case assidu mainstream media realli see embarrass caus abort right vindic worldview reason societi comprehens presum doctor will perform abort certainli govern fund abort gener reduc market share avail monster gosnel exploit practic allegedli oper gray area creat combin pennsylvania restrict abort pennsylvania administr want enforc restrict obvious state restrict whatsoev spend public money subsid abort abattoir clean sanitari competitor thu matt yglesia conclus rigor wade perspect lesson gosnel horror show regul flout better enforc rather pennsylvania need competit marketplac multipl legal provid abort facil restrict abort unfortun prevent marketplac emerg thing miss clean airtight entir consist argument well dead babi gosnel clinic dead precipit fetus employ languag gosnel associ use euphem practic deliv snip rather abort utero absenc necessarili problem will argu babi deliveri becom person immedi case gosnel guilti infanticid compet abort facil will argu peter singer other personhood someth emerg gradual indetermin birth case gosnel snip murder former think common form absolut latter belong fring debat bill move offici consensu fringeward alreadi commit absolut support abort right either argument suffic justifi treat gosnel conduct irrelev broader abort controversi neither argument seem like howev much persuad mani mani peopl alreadi commit whose support abort right tend waver confront realiti abort actual fetal life clean facil well filthi one womb much gosnel oper tabl cours central reason side assum mainstream report particularli want cover trial mainstream press lean mainstream journal pitch reader mushi middl abort practic abort make fetal human manifest way almost inevit push middl direct realiti case focu make procedur safer access keep utero hard percent american believ abort legal circumst take specif gallup question percent think circumst includ third trimest carmon point yglesia tend confirm posit american kind person neonat gasp breath spin get sever make question abort murder insist gosnel case reveal advantag competit marketplac abort realli much respons bring back senior essay think see side gosnel debat exactli dilemma describ respond effect doubt abort fetal snip summon advoc need argument rephras senior languag acknowledg come term gori abort simultan persuad conflict uncommit valid somehow take ownership violenc gruesom abort borrow word give aid comfort caus absenc argument respons gosnel feel either evas euphemist els logic consist way tend horrifi unconvinc either case inadequ challeng case present caus abort right cours possibl argument absent simpli exist,Kermit Gosnell and the Politics of Abortion,left,2013-04-18 19:51:49,NYT-OPINION2012-2013-processed
big part fiscal cliff negoti populist wing republican parti quit figur want actual achiev broad goal less spend lower tax clear enough anyth specif politician activist grassroot right seem confus think parti negoti expect call harder hardbal actual win end scenario spin tend either envis extract gon concess democrats week brinksmanship embrac truli massiv defeat tax wors better step eventu resurg confus obviou particularli brief window tuesday talk hous republicans send bill back amend tack kind consensu actual want compromis amend gambit make sens problem right suggest mitt overcom populist mood win parti nomin conspiraci squishi parti elit nomin moder countri club republican rather parti populist never find plausibl leader plausibl messag match voter impuls strangest featur recent republican polit parti populist talk good game champion regular american take parti georgetown cocktail partygo wall street insid come advoc actual polici mostli embrac extrem less workabl version idea insid alreadi endors fair tax herman cain plan pick promin exampl parodi wall street journal tax much lower well journal reader slightli higher lower middl class result season republican primari campaign hotli contest yet intellectu steril candid compet style rather substanc obviou populist case bubbl weird way santorum sweater vest attack bain capit give recent histori interest year post erick erickson make case describ agenda erickson model populist entrepreneur redstat atlanta talk radio host scourg democrats moder republicans alik champion america river valley coast man never meet cliff want jump beltway deal readi dismiss betray principl rare never agre erickson tactic includ latest post republicans debt ceil campaign often seem embodi patho popul mani realli anyon els primari spend promin defend disastr percent donor pander understand enough frame help popular first place erickson agenda post open path futil populist right outlin polici paper basic argu turn tax polici focu payrol tax well incom tax street turn econom polici base recognit fortun less less common fortun averag american reader wonk controversi even sneak dig support exist copyright regim focu cost higher educ pursuit call low cost idea share space post old standbi regulatori reform school choic repeal obamacar old standbi glimps construct effect popul abl parti glimps republicans think harder polici instead expect economi deliv white hous true idea line float gestur primari rick santorum talk lot famili breakdown modestli tax plan jon huntsman plan rick campaign drown feet water talk texan higher reform erickson mention sustain attempt defin popul beltway republican instead populist mostli defin pitch rhetor implaus propos substant pressur put mitt pressur embrac wall street tax plan predict easili attack come gener elect anoth republican giveaway rich friendli propos carri santorum pawlenti victori chang way posit chang gener elect fortun process current elit consensu republican parti ultim save irrelev establishmentarian impos saniti parti radic drag parti kick scream back center erickson propos agenda differ model reform come right influenc moder populist cultur realiz parti countri outlandish variat street wall street alreadi support,A Populism Worthy of the Name,left,2013-01-04 16:09:42,NYT-OPINION2012-2013-processed
